en_name,ch_name,url,ranking,area
MPhil in Management,剑桥大学管理哲学硕士,/majr_50006,QS排名：2,商科 管理
MPhil in Philosophy,剑桥大学哲学硕士,/majr_66869,QS排名：2,社科 哲学
MPhil in Engineering for Sustainable Development,剑桥大学可持续发展工程哲学硕士,/majr_50013,QS排名：2,工科 环境工程
MPhil in Archaeology,剑桥大学考古学哲学硕士,/majr_62011,QS排名：2,社科 历史
MPhil in Archaeological Science,剑桥大学考古科学哲学硕士,/majr_66837,QS排名：2,社科 历史
MPhil in Egyptology,剑桥大学埃及学哲学硕士,/majr_66852,QS排名：2,社科 历史
MPhil in Heritage Studies,剑桥大学遗产研究哲学硕士,/majr_66856,QS排名：2,社科 历史
MPhil in History and Philosophy of Science and Medicine,剑桥大学科学与医学史与哲学硕士,/majr_66857,QS排名：2,社科 历史
MPhil in Holocene Climates,剑桥大学全新世气候哲学硕士,/majr_66859,QS排名：2,工科 环境工程
MPhil in American History,剑桥大学美国历史哲学硕士,/majr_66877,QS排名：2,社科 历史
MPhil in Archaeological Research,剑桥大学考古研究哲学硕士,/majr_66878,QS排名：2,社科 历史
MPhil in Early Modern History,剑桥大学早期现代史哲学硕士,/majr_66886,QS排名：2,社科 历史
MPhil in Medieval History,剑桥大学中世纪历史哲学硕士,/majr_66891,QS排名：2,社科 历史
MPhil in Modern British History,剑桥大学英国现代史哲学硕士,/majr_66892,QS排名：2,社科 历史
MPhil in Modern European History,剑桥大学欧洲现代史哲学硕士,/majr_66893,QS排名：2,社科 历史
MPhil in Political Thought and Intellectual History,剑桥大学政治思想与思想史哲学硕士,/majr_66895,QS排名：2,社科 历史
MPhil in World History,剑桥大学世界历史哲学硕士,/majr_66896,QS排名：2,社科 历史
MPhil in Environmental Policy,剑桥大学环境政策哲学硕士,/majr_50002,QS排名：2,社科 公共政策与事务
MPhil in Real Estate Finance,剑桥大学房地产金融哲学硕士,/majr_50004,QS排名：2,商科 房地产
MPhil in Public Policy,剑桥大学公共政策哲学硕士,/majr_50016,QS排名：2,社科 公共政策与事务
"MPhil in Industrial Systems, Manufacture, and Management",剑桥大学工业系统、制造和管理哲学硕士,/majr_66861,QS排名：2,工科 工业工程
"MPhil in Innovation, Strategy and Organisation",剑桥大学创新、战略与组织哲学硕士,/majr_66862,QS排名：2,商科 创业与创新
MPhil in Energy Technologies,剑桥大学能源技术哲学硕士,/majr_50012,QS排名：2,工科 能源
Master of Business Administration (MBA),剑桥大学工商管理硕士,/majr_66826,QS排名：2,商科 工商管理
MPhil in Nuclear Energy,剑桥大学核能哲学硕士,/majr_66868,QS排名：2,工科 能源
MPhil in Polar Studies (Scott Polar Research Institute),剑桥大学极地研究（斯科特极地研究所）哲学硕士,/majr_66829,QS排名：2,工科 地球科学
MASt in Earth Sciences,剑桥大学地球科学高级研究硕士,/majr_66850,QS排名：2,工科 地球科学
MPhil in Population Health Sciences,剑桥大学人口健康科学哲学硕士,/majr_66870,QS排名：2,社科 公共卫生
"MPhil in Health, Medicine and Society",剑桥大学健康、医学和社会哲学硕士,/majr_62023,QS排名：2,社科 医学
MPhil in Genomic Medicine,剑桥大学基因组医学哲学硕士,/majr_66827,QS排名：2,社科 医学
