en_name,ch_name,url,ranking,area
"Master of Engineering Science (Water, Wastewater and Waste Engineering)",新南威尔士大学工程科学硕士（水力、废水与废物处理工程方向）,/majr_54034,QS排名：45,工科 环境工程
Master of Environmental Management,新南威尔士大学环境管理硕士,/majr_54107,QS排名：45,工科 环境工程
Master of Property and Development,新南威尔士大学房地产与开发硕士,/majr_54080,QS排名：45,商科 房地产
Master of Public Policy and Governance,新南威尔士大学公共政策与治理硕士,/majr_54111,QS排名：45,社科 公共政策与事务
Master of Engineering Science (Nuclear Engineering),新南威尔士大学工程科学硕士（核能工程）,/majr_54039,QS排名：45,工科 能源
Master of Engineering Science (Petroleum Engineering),新南威尔士大学工程科学硕士（石油工程）,/majr_54048,QS排名：45,工科 能源
Master of Engineering Science (Photovoltaics and Solar Energy),新南威尔士大学工程科学硕士（光伏与太阳能）,/majr_54049,QS排名：45,工科 能源
Master of Engineering Science (Renewable Energy),新南威尔士大学工程科学硕士（可再生能源）,/majr_54050,QS排名：45,工科 能源
AGSM MBA,新南威尔士大学工商管理硕士,/majr_54058,QS排名：45,商科 工商管理
Master of Engineering (Renewable Engineering),新南威尔士大学工程硕士（可再生能源工程）,/majr_66065,QS排名：45,工科 能源
Master of Engineering Science (Geothermal Engineering),新南威尔士大学工程科学硕士（地热工程）,/majr_66066,QS排名：45,工科 能源
Master of Engineering Science (Petroleum Engineering) (Open Learning),新南威尔士大学工程科学硕士（石油工程）（开放学习）,/majr_66067,QS排名：45,工科 能源
Master of Engineering (Petroleum Engineering),新南威尔士大学工程硕士（石油工程）,/majr_72160,QS排名：45,工科 能源
Master of Engineering Science (Space Systems Engineering),新南威尔士大学工程科学硕士（空间系统工程）,/majr_66069,QS排名：45,工科 航空工程
Master of Engineering Science (Transport Engineering),新南威尔士大学工程科学硕士（运输工程）,/majr_54032,QS排名：45,工科 交通运输
Master of Health Leadership and Management,新南威尔士大学健康领导与管理硕士,/majr_54116,QS排名：45,社科 公共卫生
Master of Health Leadership and Management (Extension),新南威尔士大学健康领导与管理硕士（延伸课程）,/majr_54117,QS排名：45,社科 公共卫生
Master of Infectious Diseases Intelligence,新南威尔士大学传染病情报硕士,/majr_54118,QS排名：45,社科 公共卫生
Master of Global Health,新南威尔士大学全球卫生硕士,/majr_54119,QS排名：45,社科 公共卫生
Master of Global Health (Extension),新南威尔士大学全球卫生硕士（延伸课程）,/majr_54120,QS排名：45,社科 公共卫生
Master of Health Leadership and Management/Master of Global Health (Extension),新南威尔士大学健康领导与管理硕士/全球卫生硕士（延伸课程）双学位,/majr_54121,QS排名：45,社科 公共卫生
Master of Global Health/Master of Public Health (Extension),新南威尔士大学全球卫生硕士/公共卫生硕士（延伸课程）双学位,/majr_54122,QS排名：45,社科 公共卫生
Master of Health Leadership and Management (Extension)/Master of Public Health,新南威尔士大学健康领导与管理硕士（延伸课程）/公共卫生硕士双学位,/majr_54123,QS排名：45,社科 公共卫生
Master of Global Health/Master of Health Leadership and Management,新南威尔士大学全球卫生硕士/健康领导与管理硕士双学位,/majr_54125,QS排名：45,社科 公共卫生
Master of Global Health/Master of Public Health,新南威尔士大学全球卫生硕士/公共卫生硕士双学位,/majr_54126,QS排名：45,社科 公共卫生
Master of Public Health,新南威尔士大学公共卫生硕士,/majr_54127,QS排名：45,社科 公共卫生
Master of Public Health (Extension),新南威尔士大学公共卫生硕士（延伸课程）,/majr_54128,QS排名：45,社科 公共卫生
Master of Health Leadership and Management/Master of Public Health (Extension),新南威尔士大学健康领导与管理硕士/公共卫生硕士（延伸课程）双学位,/majr_54129,QS排名：45,社科 公共卫生
Master of Health Leadership and Management/Master of Public Health,新南威尔士大学健康领导与管理硕士/公共卫生硕士双学位,/majr_54131,QS排名：45,社科 公共卫生
Master of Psychology (Clinical),新南威尔士大学临床心理学硕士,/majr_54092,QS排名：45,社科 心理学
Master of Psychology (Forensic),新南威尔士大学法医心理学硕士,/majr_54093,QS排名：45,社科 心理学
Master of Engineering Science (Food Process Engineering),新南威尔士大学工程科学硕士（食品加工工程）,/majr_54021,QS排名：45,工科 食品科学
Master of Food Science,新南威尔士大学食品科学硕士,/majr_54022,QS排名：45,工科 食品科学
Master of Clinical Optometry,新南威尔士大学视光学硕士,/majr_54091,QS排名：45,社科 医学
Master of Applied Linguistics,新南威尔士大学应用语言学硕士,/majr_54094,QS排名：45,社科 语言
Master of Interpreting,新南威尔士大学口译硕士,/majr_54109,QS排名：45,社科 语言
Master of Translation,新南威尔士大学翻译硕士,/majr_54114,QS排名：45,社科 语言
Master of Translation and Interpreting,新南威尔士大学笔译与口译硕士,/majr_54115,QS排名：45,社科 语言
Master of Journalism & Communication,新南威尔士大学新闻与传播硕士,/majr_54110,QS排名：45,社科 传播
Master of Public Relations & Advertising,新南威尔士大学公共关系与广告学硕士,/majr_54112,QS排名：45,社科 传播
Master of Design / Master of Public Relations & Advertising,新南威尔士大学设计硕士/公共关系与广告硕士,/majr_62460,QS排名：45,社科 传播
Master of Marine Science and Management,新南威尔士大学海洋科学与管理硕士,/majr_54086,QS排名：45,理科 生物
Master of Mathematics,新南威尔士大学数学硕士,/majr_54089,QS排名：45,理科 数学
Master of Statistics,新南威尔士大学统计学硕士,/majr_54090,QS排名：45,理科 数学
Master of Curating and Cultural Leadership,新南威尔士大学策展与文化领导硕士,/majr_54132,QS排名：45,社科 文化
Master of Design,新南威尔士大学设计学硕士,/majr_54134,QS排名：45,社科 其他社科
Master of Simulation and Immersive Technologies,新南威尔士大学模拟与沉浸式技术硕士,/majr_66059,QS排名：45,社科 其他社科
Master of Science in Health Data Science,新南威尔士大学健康数据科学理学硕士,/majr_66070,QS排名：45,理科 数据科学
Master of Data Science and Decisions,新南威尔士大学数据科学与决策硕士,/majr_66071,QS排名：45,理科 数据科学
MEng in Financial Technology,杜克大学金融科技学硕士,/majr_72104,QS排名：50,商科 金工金数
Master of Financial Mathematics (1.5 Years),昆士兰大学金融数学硕士（1.5年制）,/majr_54212,QS排名：50,商科 金工金数
Master of Financial Mathematics (2 Years),昆士兰大学金融数学硕士（2年制）,/majr_54213,QS排名：50,商科 金工金数
Master of Commerce (Applied Finance/Information Systems/Professional Accounting) (1.5 Years),昆士兰大学商学硕士（1.5年制）,/majr_54156,QS排名：50,商科 金融
Master of Commerce (Applied Finance/Information Systems/Professional Accounting) (2 Years),昆士兰大学商学硕士（2年制）,/majr_54157,QS排名：50,商科 金融
MS in Computer Science,杜克大学计算机科学理学硕士,/majr_72046,QS排名：50,工科 计算机
Master of Computer Science (1 Year),昆士兰大学计算机科学硕士（1年制）,/majr_54136,QS排名：50,工科 计算机
Master of Computer Science (1.5 Years),昆士兰大学计算机科学硕士（1.5年制）,/majr_54137,QS排名：50,工科 计算机
Master of Computer Science (Management),昆士兰大学计算机科学硕士（管理）,/majr_54138,QS排名：50,工科 计算机
Master of Information Technology,昆士兰大学信息技术硕士,/majr_54144,QS排名：50,工科 计算机
Master of Interaction Design,昆士兰大学交互设计硕士,/majr_54147,QS排名：50,工科 计算机
Master of Cyber Security (Cryptography/Cyber Criminology/Cyber Defence/Leadership) (1.5 Years),昆士兰大学网络安全硕士（4个小方向）（1.5年制）,/majr_66076,QS排名：50,工科 计算机
Master of Cyber Security (Cryptography/Cyber Criminology/Cyber Defence/Leadership) (2 Years),昆士兰大学网络安全硕士（4个小方向）（2年制）,/majr_66077,QS排名：50,工科 计算机
Master of Software Engineering (Professional),昆士兰大学软件工程硕士（专业）,/majr_72237,QS排名：50,工科 计算机
Master of Quantitative Management,杜克大学量化管理硕士,/majr_65507,QS排名：50,商科 商业分析
MA Economics,杜克大学经济学硕士,/majr_65704,QS排名：50,商科 经济
Master of Arts in Analytical Political Economy ,杜克大学政治经济学分析硕士,/majr_65722,QS排名：50,商科 经济
Master of Science in Economics & Computation,杜克大学经济学与计算科学硕士,/majr_65723,QS排名：50,商科 经济
Master of Advanced Economics (1 Year),昆士兰大学高级经济学硕士（1年制）,/majr_54149,QS排名：50,商科 经济
Master of Applied Econometrics (1.5 Years),昆士兰大学应用经济计量学硕士（1.5年制）,/majr_54151,QS排名：50,商科 经济
Master of Applied Econometrics (2 Years),昆士兰大学应用经济计量学硕士（2年制）,/majr_54152,QS排名：50,商科 经济
Master of Economics (1.5 Years),昆士兰大学经济学硕士（1.5年制）,/majr_54160,QS排名：50,商科 经济
Master of Economics (2 Years),昆士兰大学经济学硕士（2年制）,/majr_54161,QS排名：50,商科 经济
Master of Economics and Public Policy (1.5 Years),昆士兰大学经济学与公共政策硕士（1.5年制）,/majr_54162,QS排名：50,商科 经济
Master of Economics and Public Policy (2 Years),昆士兰大学经济学与公共政策硕士（2年制）,/majr_54163,QS排名：50,商科 经济
Master of Health Economics (1.5 Year),昆士兰大学健康经济学硕士（1.5年制）,/majr_54165,QS排名：50,商科 经济
Master of Health Economics (2 Years),昆士兰大学健康经济学硕士（2年制）,/majr_54166,QS排名：50,商科 经济
Master of International Economics and Finance (2 Years),昆士兰大学国际经济与金融硕士（2年制）,/majr_54168,QS排名：50,商科 经济
Master of International Economics and Finance (1.5 Years),昆士兰大学国际经济与金融硕士（1.5年制）,/majr_54169,QS排名：50,商科 经济
MEng in Electrical and Computer Engineering,杜克大学电气与计算机工程硕士,/majr_65802,QS排名：50,工科 电气电子
Master of Engineering (MEng) program in Electrical and Computer Engineering（kunshan）,杜克大学电气与计算机工程硕士,/majr_65803,QS排名：50,工科 电气电子
Master of Electrical Engineering (Professional),昆士兰大学电气工程硕士（专业）,/majr_72234,QS排名：50,工科 电气电子
MS in Mechanical Engineering & Materials Science,杜克大学机械工程与材料科学理学硕士,/majr_71814,QS排名：50,工科 机械工程
MEng in Mechanical Engineering & Materials Science,杜克大学机械工程与材料科学工学硕士,/majr_71815,QS排名：50,工科 机械工程
MEng in Mechanical Engineering,杜克大学机械工程工学硕士,/majr_71877,QS排名：50,工科 机械工程
Master of Educational Studies (1 Year),昆士兰大学教育研究硕士（1年制）,/majr_54241,QS排名：50,社科 教育
Master of Educational Studies (1.5 Year),昆士兰大学教育研究硕士（1.5年制）,/majr_54242,QS排名：50,社科 教育
Master of Educational Studies (2 Years),昆士兰大学教育研究硕士（2年制）,/majr_54243,QS排名：50,社科 教育
Master of Teaching (Primary),昆士兰大学教学硕士（小学）,/majr_54258,QS排名：50,社科 教育
Master of Teaching (Secondary),昆士兰大学教学硕士（中学）,/majr_66089,QS排名：50,社科 教育
Master of Mechanical Engineering (Professional),昆士兰大学机械工程硕士（专业）,/majr_72236,QS排名：50,工科 机械工程
MEng in Materials Science and Engineering,杜克大学材料工程与科学工学硕士,/majr_71878,QS排名：50,工科 材料
Master of Architecture,昆士兰大学建筑学硕士,/majr_54135,QS排名：50,社科 建筑
Master of Urban and Regional Planning,昆士兰大学城市与区域规划硕士,/majr_54229,QS排名：50,社科 建筑
Master of Urban Development and Design,昆士兰大学城市发展与设计硕士,/majr_66082,QS排名：50,社科 建筑
Master of Materials and Manufacturing Engineering (Professional),昆士兰大学材料与制造工程硕士（专业）,/majr_72235,QS排名：50,工科 材料
Master of Laws,杜克大学法学硕士,/majr_65635,QS排名：50,社科 法律
Master of International Commercial Law,昆士兰大学国际商法硕士,/majr_54167,QS排名：50,社科 法律
Master of International Law,昆士兰大学国际法硕士,/majr_54170,QS排名：50,社科 法律
Master of Laws (1 Year),昆士兰大学法学硕士（1年制）,/majr_54171,QS排名：50,社科 法律
Master of Laws (1.5 Years),昆士兰大学法学硕士（1.5年制）,/majr_54172,QS排名：50,社科 法律
Master of Chemical Engineering (Professional),昆士兰大学化学工程硕士（专业）,/majr_72230,QS排名：50,工科 化工
MS in Biomedical Engineering,杜克大学生物医学理学硕士,/majr_72025,QS排名：50,工科 生物工程
MEng in  Biomedical Engineering,杜克大学生物医学工学硕士,/majr_72026,QS排名：50,工科 生物工程
Master of Social Work Studies (2 Years),昆士兰大学社会工作研究硕士（2年制）,/majr_54189,QS排名：50,社科 社会学与社工
Master of Development Practice (1.5 Years),昆士兰大学发展实践硕士（1.5年制）,/majr_54239,QS排名：50,社科 社会学与社工
Master of Development Practice (2 Years),昆士兰大学发展实践硕士（2年制）,/majr_54240,QS排名：50,社科 社会学与社工
Master of International Relations (1 Year),昆士兰大学国际关系硕士（1年制）,/majr_54249,QS排名：50,社科 国际关系
Master of International Relations (1.5 Years),昆士兰大学国际关系硕士（1.5年制）,/majr_54250,QS排名：50,社科 国际关系
Master of International Relations (2 Years),昆士兰大学国际关系硕士（2年制）,/majr_54251,QS排名：50,社科 国际关系
Master of Peace and Conflict Studies  (1 Year),昆士兰大学和平与冲突研究硕士（1年制）,/majr_54255,QS排名：50,社科 国际关系
Master of Peace and Conflict Studies (1.5 Years),昆士兰大学和平与冲突研究硕士（1.5年制）,/majr_54256,QS排名：50,社科 国际关系
Master of Peace and Conflict Studies (2 Years),昆士兰大学和平与冲突研究硕士（2年制）,/majr_54257,QS排名：50,社科 国际关系
Masters of International Relations / International Law,昆士兰大学国际关系/国际法硕士,/majr_54261,QS排名：50,社科 国际关系
Masters of International Relations / Peace and Conflict Studies,昆士兰大学国际关系硕士/和平与冲突研究硕士双学位,/majr_66088,QS排名：50,社科 国际关系
Master of Civil Engineering (Professional),昆士兰大学土木工程硕士（专业）,/majr_72231,QS排名：50,工科 土木工程
Master of Management Studies: foundation of business,杜克大学管理研究硕士,/majr_65597,QS排名：50,商科 管理
Master of Management Studies（kunshan）,杜克大学管理研究硕士,/majr_65598,QS排名：50,商科 管理
Master of Engineering Management,杜克大学工程管理硕士,/majr_72008,QS排名：50,工科 工程管理
Master of Business (1.5 Years),昆士兰大学商业硕士（1.5年制）,/majr_54153,QS排名：50,商科 管理
Master of Business (2 Years),昆士兰大学商业硕士（2年制）,/majr_54154,QS排名：50,商科 管理
Master of Global Management (International Economics and Finance/International Enterprise Management/International Tourism),昆士兰大学全球管理硕士,/majr_54164,QS排名：50,商科 管理
Master of Project Management,昆士兰大学项目管理硕士,/majr_54173,QS排名：50,工科 工程管理
Master of Agribusiness (1.5 Years),昆士兰大学农业企业管理硕士（1.5年制）,/majr_54193,QS排名：50,商科 管理
Master of Agribusiness (2 Years),昆士兰大学农业企业管理硕士（2年制）,/majr_54194,QS排名：50,商科 管理
MS in Civil & Environmental Engineering,杜克大学土木与环境工程理学硕士,/majr_71939,QS排名：50,工科 环境工程
MEng in Environmental Engineering,杜克大学环境工程工学硕士,/majr_71940,QS排名：50,工科 环境工程
Master of Environmental Management,杜克大学环境管理硕士,/majr_72148,QS排名：50,工科 环境工程
Master of Integrated Water Management,昆士兰大学综合水资源管理硕士,/majr_54146,QS排名：50,工科 环境工程
Master of Environmental Management (1.5 Years),昆士兰大学环境管理硕士（1.5年制）,/majr_54210,QS排名：50,工科 环境工程
Master of Environmental Management (2 Years),昆士兰大学环境管理硕士（2年制）,/majr_54211,QS排名：50,工科 环境工程
Master of Museum Studies,昆士兰大学博物馆研究硕士,/majr_54252,QS排名：50,社科 历史
Master of Environmental Health Sciences,昆士兰大学环境健康科学硕士,/majr_66090,QS排名：50,工科 环境工程
Master of Public Policy,杜克大学公共政策硕士,/majr_65671,QS排名：50,社科 公共政策与事务
Master of International Development Policy,杜克大学国际发展政策硕士,/majr_72107,QS排名：50,社科 公共政策与事务
Master of Technology and Innovation Management (Biotechnology),昆士兰大学技术与创新管理硕士（生物技术）,/majr_54174,QS排名：50,商科 创业与创新
"Master of Tourism, Hotel and Event Management (Event Management/Hotel Management/Travel&Tourism Management) (1.5 Years)",昆士兰大学旅游、酒店与会展管理硕士（1.5年制）,/majr_54176,QS排名：50,商科 旅游酒店管理
"Master of Tourism, Hotel and Event Management (Event Management/Hotel Management/Travel&Tourism Management) (2 Years)",昆士兰大学旅游、酒店与会展管理硕士（2年制）,/majr_54177,QS排名：50,商科 旅游酒店管理
Master of Governance and Public Policy (1 Year),昆士兰大学管理与公共政策硕士（1年制）,/majr_54244,QS排名：50,社科 公共政策与事务
Master of Governance and Public Policy (1.5 Years),昆士兰大学管理与公共政策硕士（1.5年制）,/majr_54245,QS排名：50,社科 公共政策与事务
Master of Governance and Public Policy (2 Years),昆士兰大学管理与公共政策硕士（2年制）,/majr_54246,QS排名：50,社科 公共政策与事务
Master of Entrepreneurship and Innovation,昆士兰大学创业与创新硕士（5个小方向）,/majr_66073,QS排名：50,商科 创业与创新
Master of Entrepreneurship and Innovation (Biotechnology),昆士兰大学创业与创新硕士（生物技术）,/majr_72213,QS排名：50,商科 创业与创新
Master of Entrepreneurship and Innovation (Design and Information Technology),昆士兰大学创业与创新硕士（设计与信息技术）,/majr_72214,QS排名：50,商科 创业与创新
Master of Entrepreneurship and Innovation (Food Entrepreneurship),昆士兰大学创业与创新硕士（食品创业）,/majr_72215,QS排名：50,商科 创业与创新
Master of Entrepreneurship and Innovation (Social and Community Entrepreneurship),昆士兰大学创业与创新硕士（社会与社区创业）,/majr_72216,QS排名：50,商科 创业与创新
Master of Entrepreneurship and Innovation (Sustainable Energy),昆士兰大学创业与创新硕士（可持续能源）,/majr_72217,QS排名：50,商科 创业与创新
Master of Business Administration,昆士兰大学工商管理硕士,/majr_54155,QS排名：50,商科 工商管理
Master of Sustainable Energy,昆士兰大学可持续能源硕士,/majr_66080,QS排名：50,工科 能源
Master of Sustainable Energy (Management),昆士兰大学可持续能源（管理）硕士,/majr_66081,QS排名：50,工科 能源
Master of Geographic Information Science (1.5 Years),昆士兰大学地理信息科学硕士（1.5年制）,/majr_54216,QS排名：50,工科 地球科学
Master of Geographic Information Science (2 Years),昆士兰大学地理信息科学硕士（2年制）,/majr_54217,QS排名：50,工科 地球科学
Master of Epidemiology,昆士兰大学流行病学硕士,/majr_54264,QS排名：50,社科 公共卫生
Master of Public Health,昆士兰大学公共卫生硕士,/majr_54266,QS排名：50,社科 公共卫生
Master of Business Psychology (1.5 Years),昆士兰大学商业心理学硕士（1.5年制）,/majr_54179,QS排名：50,社科 心理学
Master of Clinical Psychology,昆士兰大学临床心理学硕士,/majr_54181,QS排名：50,社科 心理学
Master of Counselling,昆士兰大学咨询学硕士,/majr_54182,QS排名：50,社科 心理学
Master of Organisational Psychology,昆士兰大学组织心理学硕士,/majr_54185,QS排名：50,社科 心理学
Master of Psychology,昆士兰大学心理学硕士,/majr_54187,QS排名：50,社科 心理学
Master of Mental Health,昆士兰大学心理健康硕士,/majr_54265,QS排名：50,社科 心理学
Master of Business Psychology (2 Years),昆士兰大学商务心理学硕士（2年制）,/majr_66084,QS排名：50,社科 心理学
Master of Audiology Studies,昆士兰大学听力学研究硕士,/majr_54178,QS排名：50,社科 医学
Master of Clinical Exercise Physiology,昆士兰大学临床运动生理学硕士,/majr_54180,QS排名：50,社科 医学
Master of Dietetics Studies,昆士兰大学饮食学研究硕士,/majr_54183,QS排名：50,社科 医学
Master of Occupational Therapy Studies,昆士兰大学职业疗法研究硕士,/majr_54184,QS排名：50,社科 医学
Master of Physiotherapy Studies,昆士兰大学物理疗法研究硕士,/majr_54186,QS排名：50,社科 医学
Master of Food Science and Technology (1.5 Years),昆士兰大学食品科学与技术硕士（1.5年制）,/majr_54214,QS排名：50,工科 食品科学
Master of Food Science and Technology (2 Years),昆士兰大学食品科学与技术硕士（2年制）,/majr_54215,QS排名：50,工科 食品科学
Master of Magnetic Resonance Technology,昆士兰大学磁共振技术硕士,/majr_54218,QS排名：50,社科 医学
Master of Sports Medicine,昆士兰大学运动医学硕士,/majr_66087,QS排名：50,社科 医学
Master of Food Science and Technology Research Extensive,昆士兰大学食品科学与技术广泛研究硕士,/majr_72240,QS排名：50,工科 食品科学
Master of Speech Pathology Studies,昆士兰大学言语病理学研究硕士,/majr_54190,QS排名：50,社科 语言
Master of Applied Linguistics (Applied Linguistics/TESOL Studies) (1 Year),昆士兰大学应用语言学硕士（1年制）,/majr_54231,QS排名：50,社科 语言
Master of Applied Linguistics (Applied Linguistics/TESOL Studies) (1.5 Years),昆士兰大学应用语言学硕士（1.5年制）,/majr_54232,QS排名：50,社科 语言
Master of Applied Linguistics (2 Years),昆士兰大学应用语言学硕士（2年制）,/majr_54233,QS排名：50,社科 语言
Master of Arts in Translation and Interpreting,昆士兰大学笔译与口译文学硕士,/majr_72220,QS排名：50,社科 语言
Master of Arts in Translation and Interpreting (Chinese),昆士兰大学笔译与口译文学硕士（中文）,/majr_72221,QS排名：50,社科 语言
Master of Arts in Translation and Interpreting (Japanese),昆士兰大学笔译与口译文学硕士（日语）,/majr_72222,QS排名：50,社科 语言
Master of Communication (2 Years),昆士兰大学传播学硕士（针对社会改变的传播/战略传播）（2年制）,/majr_54238,QS排名：50,社科 传播
Master of Communication (1.5 Years),昆士兰大学传播学硕士（1.5年制）,/majr_63003,QS排名：50,社科 传播
Master in Interdisciplinary Data Science,杜克大学数据科学硕士,/majr_65740,QS排名：50,理科 数据科学
Master's in Statistical Science,杜克大学统计科学硕士,/majr_67212,QS排名：50,理科 数学
Master of Biostatistics,杜克大学生物统计学硕士,/majr_71713,QS排名：50,理科 数学
Master of Data Science (2 Years),昆士兰大学数据科学硕士（2年制）,/majr_54139,QS排名：50,理科 数据科学
Master of Engineering Science (1 Year),昆士兰大学工程科学硕士（1年制）,/majr_54141,QS排名：50,工科 其他工科
Master of Engineering Science (Management),昆士兰大学工程科学硕士（管理）,/majr_54143,QS排名：50,工科 其他工科
Master of Sports Coaching (1 Year),昆士兰大学运动教练学硕士（1年制）,/majr_54191,QS排名：50,社科 其他社科
Master of Sports Coaching (1.5 Years),昆士兰大学运动教练学硕士（1.5年制）,/majr_54192,QS排名：50,社科 其他社科
Master of Agricultural Science (Agronomy/Horticulture/Plant Protection) (1.5 Years),昆士兰大学农业科学硕士（农艺/园艺/植物保护）（1.5年制）,/majr_54195,QS排名：50,社科 其他社科
Master of Agricultural Science (Agronomy/Horticulture/Plant Protection) (2 Years),昆士兰大学农业科学硕士（农艺/园艺/植物保护）（2年制）,/majr_54196,QS排名：50,社科 其他社科
Master of Animal Science (Equine Science/Production Animal Science/Wildlife Biology) (1.5 Years),昆士兰大学动物科学硕士（马学/畜产动物科学/野生生物学）（1.5年制）,/majr_54197,QS排名：50,理科 生物
Master of Animal Science (Equine Science/Production Animal Science/Wildlife Biology) (2 Years),昆士兰大学动物科学硕士（马学/畜产动物科学/野生生物学）（2年制）,/majr_54198,QS排名：50,理科 生物
Master of Bioinformatics (1 Year),昆士兰大学生物信息学硕士（1年制）,/majr_54199,QS排名：50,理科 生物
Master of Bioinformatics (1.5 Years),昆士兰大学生物信息学硕士（1.5年制）,/majr_54200,QS排名：50,理科 生物
Master of Bioinformatics Research Extensive (1.5 Years),昆士兰大学生物信息学广泛研究硕士（1.5年制）,/majr_54201,QS排名：50,理科 生物
Master of Bioinformatics Research Extensive (2 Years),昆士兰大学生物信息学广泛研究硕士（2年制）,/majr_54202,QS排名：50,理科 生物
Master of Biotechnology (1 Year),昆士兰大学生物技术硕士（1年制）,/majr_54203,QS排名：50,理科 生物
Master of Biotechnology (1.5 Years),昆士兰大学生物技术硕士（1.5年制）,/majr_54204,QS排名：50,理科 生物
Master of Biotechnology (2 Years),昆士兰大学生物技术硕士（2年制）,/majr_54205,QS排名：50,理科 生物
Master of Biotechnology Research Extensive (1.5 Years),昆士兰大学生物技术广泛研究硕士（1.5年制）,/majr_54206,QS排名：50,理科 生物
Master of Biotechnology Research Extensive (2 Years),昆士兰大学生物技术广泛研究硕士（2年制）,/majr_54207,QS排名：50,理科 生物
Master of Conservation Biology,昆士兰大学生物保护硕士,/majr_54208,QS排名：50,理科 生物
Master of Conservation Science,昆士兰大学保护科学硕士,/majr_54209,QS排名：50,理科 生物
Master of Molecular Biology (1 Year),昆士兰大学分子生物学硕士（1年制）,/majr_54220,QS排名：50,理科 生物
Master of Molecular Biology (1.5 Years),昆士兰大学分子生物学硕士（1.5年制）,/majr_54221,QS排名：50,理科 生物
Master of Molecular Biology (2 Years),昆士兰大学分子生物学硕士（2年制）,/majr_54222,QS排名：50,理科 生物
Master of Molecular Biology Research Extensive (1.5 Years),昆士兰大学分子生物学广泛研究硕士（1.5年制）,/majr_54223,QS排名：50,理科 生物
Master of Molecular Biology Research Extensive (2 Years),昆士兰大学分子生物学广泛研究硕士（2年制）,/majr_54224,QS排名：50,理科 生物
Master of Molecular Imaging Technology,昆士兰大学分子成像技术硕士,/majr_54225,QS排名：50,理科 生物
Master of Occupational Health and Safety Science,昆士兰大学职业健康与安全科学硕士,/majr_54226,QS排名：50,社科 其他社科
Master of Science (1.5 Years),昆士兰大学理学硕士（1.5年制）,/majr_54228,QS排名：50,理科 数学
Master of Music (1 Year),昆士兰大学音乐硕士（1年制）,/majr_54253,QS排名：50,社科 其他社科
Master of Music (1.5 Years),昆士兰大学音乐硕士（1.5年制）,/majr_54254,QS排名：50,社科 其他社科
"Master of Writing, Editing and Publishing (1 Year)",昆士兰大学写作、编辑与出版硕士（1年制）,/majr_54259,QS排名：50,社科 新闻
"Master of Writing, Editing and Publishing (1.5 Years)",昆士兰大学写作、编辑与出版硕士（1.5年制）,/majr_54260,QS排名：50,社科 新闻
Master of Data Science (1.5 Years),昆士兰大学数据科学硕士（1.5年制）,/majr_66078,QS排名：50,理科 数据科学
Master of Clinical Pharmacy,昆士兰大学临床药学硕士,/majr_66085,QS排名：50,社科 其他社科
Master of Sports Coaching (2 Years),昆士兰大学运动教练硕士（2年制）,/majr_66086,QS排名：50,社科 其他社科
Master of Quantitative Biology (1 Year),昆士兰大学量化生物学硕士（1年制）,/majr_66091,QS排名：50,理科 生物
Master of Quantitative Biology (1.5 Years),昆士兰大学量化生物学硕士（1.5年制）,/majr_66092,QS排名：50,理科 生物
Master of Quantum Technology,昆士兰大学量子技术硕士,/majr_66093,QS排名：50,理科 物理
Master of Science (2 Years),昆士兰大学理学硕士（2年制）,/majr_66094,QS排名：50,理科 数学
Master of Urban Water Engineering (Professional),昆士兰大学城市水利工程硕士（专业）,/majr_72238,QS排名：50,工科 其他工科
Master of Bioinformatics (2 Years),昆士兰大学生物信息学硕士（2年制）,/majr_72239,QS排名：50,理科 生物
Master in Computational Finance,卡内基梅隆大学计算金融硕士,/majr_65678,QS排名：52,商科 金工金数
MS in Computer Science,卡内基梅隆大学计算机科学硕士,/majr_65756,QS排名：52,工科 计算机
Master of Science in Artificial Intelligence and Innovation,卡内基梅隆大学人工智能与创新硕士,/majr_65757,QS排名：52,工科 计算机
Master of Software Engineering,卡内基梅隆大学软件工程硕士,/majr_65758,QS排名：52,工科 计算机
MS in Software Engineering(Silicon Valley）,卡内基梅隆大学软件工程硕士,/majr_65759,QS排名：52,工科 计算机
MISM–Business Intelligence & Data Analytics pathway,卡内基梅隆大学信息系统管理硕士-商业情报与数据分析方向,/majr_65516,QS排名：52,商科 商业分析
MS in Business Analytics,卡内基梅隆大学商业分析理学硕士,/majr_72111,QS排名：52,商科 商业分析
M.S. in Electrical and Computer Engineering,卡内基梅隆大学电气与计算机工程硕士,/majr_65799,QS排名：52,工科 电气电子
Masters in Applied Second Language Acquisition,卡内基梅隆大学应用第二语言习得硕士,/majr_71690,QS排名：52,社科 教育
M.S.in Mechanical Engineering,卡内基梅隆大学机械工程理学硕士,/majr_71828,QS排名：52,工科 机械工程
M.S. in Materials Science and Engineering,卡内基梅隆大学材料科学与工程理学硕士,/majr_71890,QS排名：52,工科 材料
MS in Chemical Engineering,卡内基梅隆大学化学工程理学硕士,/majr_71788,QS排名：52,工科 化工
MS in Biomedical Engineering,卡内基梅隆大学生物医学工程理学硕士,/majr_72034,QS排名：52,工科 生物工程
Master of Information Systems Management (MISM),卡内基梅隆大学信息系统管理硕士,/majr_65555,QS排名：52,商科 信息系统
M.S.in Engineering & Technology Innovation Management,卡内基梅隆大学工程创新管理理学硕士,/majr_72017,QS排名：52,工科 工程管理
