school,applicant
香港城市大学商务资讯系统理学硕士（管理信息系统）,"中山大学, 档案学, 大四，GPA81，雅思6.5"
香港城市大学金融学理学硕士,"厦门大学, 金融（国际学院）, 已毕业，GPA82.6，雅思6.5"
香港城市大学金融学理学硕士,"上海交通大学, 金融学, 大四，GPA81.69，雅思7.5"
香港城市大学商务资讯系统理学硕士（金融与智能科技）,"华东师范大学, 金融学, 已毕业，GPA3.66，雅思7"
香港城市大学金融数学与统计理学硕士,"西南财经大学, 数学与应用数学（数学与经济学双学位）, 一年工作经验，GPA83.52，雅思6.5"
香港中文大学经济学理学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA85.98，雅思7.5"
香港城市大学数码化转型及科技创新理学硕士,"华东师范大学, 金融学, 已毕业，GPA3.66，雅思7"
香港大学经济学硕士,"复旦大学, 财务管理, 大四，GPA3.12，雅思7"
香港大学经济学硕士,"中山大学, 金融学, 大四，GPA88，托福83"
香港城市大学营运与供应链管理理学硕士,"上海海事大学, 经济学（海运与物流经济）, 大四，GPA85.74，雅思:7.0(L:9.0/R:6.5/W:6.0/S:6.0)"
香港理工大学专业会计硕士,"广东外语外贸大学, 会计学, 一年工作经验，GPA87，雅思6"
香港大学经济学硕士,"山东大学, 人力资源管理, 两年工作经验，GPA85，雅思:6.5(L:6.0/R:8.0/W:5.5/S:6.0)"
香港科技大学金融理学硕士,"香港中文大学（深圳）, 应用经济学, 大四，GPA3.4，港本豁免"
香港大学会计学硕士,"山东大学, 工商管理, 已毕业，GPA86.85，雅思7，GMAT700"
香港中文大学金融学理学硕士（CUHKSZ）,"西南财经大学, 金融工程, 大四，GPA87，雅思6.5，GRE320"
香港中文大学商业分析理学硕士,"加州大学圣地亚哥分校, 应用数学, 已毕业，GPA3.52，豁免，GRE329"
香港科技大学会计学理学硕士,"对外经济贸易大学, 会计学, 大四，GPA88.63，雅思7，GMAT660"
香港中文大学金融学理学硕士（CUHKSZ）,"南京大学, 已毕业，GPA4.15，雅思7.0"
香港科技大学信息系统管理理学硕士,"中山大学, 会展经济与管理, 两年工作经验，GPA89，雅思8，GRE322"
香港中文大学经济学理学硕士,"香港中文大学（深圳）, 统计学, 大四，GPA3.41，雅思7"
香港理工大学商业管理理学硕士,"浙江工业大学, 日语, 大四，GPA3.98，IELTS: 7，GRE325"
香港大学市场营销学理学硕士,"香港中文大学（深圳）, 市场营销, 大四，GPA3.6，托福106，GMAT680"
香港中文大学金融科技理学硕士,"同济大学, 金融学, 大四，GPA89.14，雅思:6.5(L:6.5/R:8/W:6/S:5.5)"
香港中文大学金融科技理学硕士,"北京师范大学, 统计学, 大四，GPA87.13，托福 98，GRE315"
香港中文大学金融科技理学硕士,"英属哥伦比亚大学, 数学, 大四，GPA77，/"
香港浸会大学创意经济市场营销理学硕士,"广西大学, 工商管理, 大四，GPA81.21，雅思6.5"
香港中文大学管理学理学硕士,"对外经济贸易大学, 金融, 大四，GPA84.17，雅思7.5，GRE328"
香港城市大学金融工程学理学硕士,"四川大学, 金融工程, 已毕业，GPA85.57，雅思7"
香港岭南大学社会创业与创新管理文学硕士,"武汉商学院, 建筑环境与能源应用工程, 大四，GPA2.6，CET 455"
香港城市大学营运与供应链管理理学硕士,"上海海事大学, 物流管理, 大四，GPA86，雅思:7(L:7.5/R:7.5/W:6.5/S:5.5)"
香港中文大学管理学理学硕士,"中南财经政法大学, 金融学, 大四，GPA89，雅思7.5，GRE330"
香港科技大学经济学理学硕士,"香港科技大学, 经济、会计, 大四，GPA3.27，雅思7.5，GRE322"
香港城市大学专业会计与企业管治理学硕士,"中国人民大学, 财务管理, 已毕业，GPA3.09，雅思6.5，GMAT680"
香港科技大学经济学理学硕士,"复旦大学, 经济学, 大四，GPA80，雅思7.5，GRE324"
香港科技大学经济学理学硕士,"上海财经大学, 经济学（世界经济）, 大四，GPA86.39，雅思:7.5(L:8/R:9/W:6/S:6.5)，GMAT:680"
香港城市大学商业及数据分析理学硕士（信息分析管理方向）,"四川大学, 国际政治, 大四，GPA86.68，雅思6.5"
香港中文大学经济学理学硕士,"吉林大学, 经济学, 大四，GPA89.1，雅思6.5"
香港城市大学商业及数据分析理学硕士（信息分析管理方向）,"北京理工大学, 国际经济与贸易, 大四，GPA83，雅思7"
香港浸会大学会计学硕士,"北京工商大学, 财务管理, 已毕业，GPA80.53，雅思:6.5(L:6/R:8/W:6/S:5.5)"
香港中文大学经济学理学硕士,"中国人民大学, 金融学, 大四，GPA86.2，雅思7"
香港中文大学经济学理学硕士,"中国人民大学（苏州）, 金融学, 大四，GPA88.6，雅思:7.5(L:8.0/R:8.5/W:6.5/S:6.5)，GMAT:720"
