school,applicant
新南威尔士大学金融数学,"上海海事大学, 应用数学, 大四，GPA2.95，托福108，GRE325"
悉尼大学商学,"北京物资学院, 会计学, 大四，GPA3.54，托福97"
莫纳什大学商业（10个方向）,"上海立信会计金融学院, 保险专业, 大四，GPA85.5，雅思6.5"
悉尼大学商学,"清华大学, 材料科学与工程, 两年工作经验，GPA2.53，无语言成绩"
西澳大学商学（含小方向）,"武汉大学, 数学，金融数学, 大四，GPA2.04，无语言成绩"
悉尼大学专业会计与商业绩效,"香港中文大学（深圳）, 会计学, 已毕业，GPA79，雅思7.5"
昆士兰大学商业（2年制）,"上海应用技术大学, 市场营销, 大四，GPA85，无"
昆士兰大学国际经济学和金融硕士/商业硕士双学位,"上海外国语大学贤达经济人文学院, 金融学, 两年工作经验，GPA80，无语言成绩"
昆士兰大学商学（2年制）,"中央财经大学, 国际经济与贸易(国际贸易/金融风险管理方向), 大四，GPA75.37，雅思6.0"
莫纳什大学商业（10个方向）,"皖江工学院, 国际经济与贸易, 一年工作经验，GPA3.31，无语言成绩"
悉尼大学商学,"华南师范大学, 财务管理（中澳联合培养、中美联合培养）, 大四，GPA88.8，雅思6.5，GRE336"
新南威尔士大学精算学,"吉林大学, 金融数学, 已毕业，GPA75.91，雅思6.5"
悉尼大学商学,"吉林大学, 金融数学, 已毕业，GPA75.91，雅思6.5"
新南威尔士大学专业会计（延伸课程）,"华东理工大学, 食品质量与安全, 已毕业，GPA2.8，雅思6.0"
悉尼大学商学（延伸课程）,"同济大学, 建筑学, 已毕业，GPA86.61，托福105，GRE325"
悉尼大学专业会计与商业绩效,"华东理工大学, 食品质量与安全, 已毕业，GPA2.8，雅思6.0"
悉尼大学商学（延伸课程）,"华东理工大学, 食品质量与安全, 已毕业，GPA2.8，雅思6.0"
西澳大学商学（含小方向）,"上海外国语大学贤达经济人文学院, 金融学, 两年工作经验，GPA80，无语言成绩"
悉尼大学商学,"中山大学, 金融（岭南学院）, 大四，GPA3.2，雅思7.0"
悉尼大学经济学,"上海外国语大学贤达经济人文学院, 金融学, 两年工作经验，GPA80，无语言成绩"
悉尼大学经济学,"华东政法大学, 会计, 大四，GPA3.4，无语言成绩"
悉尼大学物流与供应链管理,"上海海事大学, 交通管理, 大四，GPA87.6，雅思6.5"
阿德莱德大学市场营销硕士,"中央财经大学, 国际经济与贸易(国际贸易/金融风险管理方向), 大四，GPA75.37，雅思:6.0(L:6.5/R:6.0/W:6.0/S:5.5)"
悉尼大学经济学,"华威大学, Economics, 大四，GPA58，无语言成绩"
新南威尔士大学商学（含14个方向）,"中央大学, 经营专业 business administration, 已毕业，GPA85，托福91"
莫纳什大学商业（当代管理/创业/财务及风险管理/国际业务/市场营销/负责业务管理/战略通信管理/供应链管理）,"中央大学, 经营专业 business administration, 已毕业，GPA85，托福91"
悉尼大学商学,"中央财经大学, 贸易经济, 已毕业，GPA80.14，雅思7.0"
昆士兰大学应用经济计量学（1.5年制）,"香港公开大学, 应用经济学, 大四，GPA2.36，免语言成绩"
昆士兰大学商学（2年制）,"宾夕法尼亚州立大学, B. S. in Statistics, 两年工作经验，GPA2.5，免语言成绩"
新南威尔士大学商学（含14个方向）,"中央财经大学, 贸易经济, 已毕业，GPA80.14，雅思7.0"
莫纳什大学应用经济学与计量经济学（应用计量经济学/应用经济学与计量经济学/经济学）,"香港公开大学, 应用经济学, 大四，GPA2.36，免语言成绩"
悉尼大学专业会计,"澳门科技大学, 会计, 大四，GPA3.33，雅思6.5"
悉尼大学人力资源管理与劳资关系,"武汉大学, 劳动与社会保障, 已毕业，GPA80，无语言成绩"
悉尼大学经济学,"对外经济贸易大学, 国际贸易, 大四，GPA73，雅思6"
新南威尔士大学应用经济学硕士,"北京科技大学, 金融工程, 已毕业，GPA77，无语言成绩"
昆士兰大学商业（1.5年制）,"广东财经大学, 会计学, 大四，GPA3.4，雅思6.0"
西澳大学商学（会计/商业信息与物流管理/特许会计/经济学/电子商务/雇佣关系/金融/人力资源管理/国际商务/管理学/市场营销）,"广东财经大学, 金融学, 三年工作经验，GPA2.93，免语言成绩"
悉尼大学商学,"西南财经大学, 投资学, 一年工作经验，GPA76.88，雅思6.0"
墨尔本大学管理学（会计与金融）,"华南师范大学, 会计, 大四，GPA89，雅思7.0"
澳大利亚国立大学专业会计,"麦克马斯特大学, 会计学, 大四，GPA9，免语言成绩"
悉尼大学经济分析,"香港中文大学（深圳）, 金融统计辅修经济，cgpa3.391,排名15/93,mgpa3.617,排名9/93, 大四，GPA84，雅思7.5，GRE320+"
悉尼大学经济学,"长沙理工大学, 国际经济与贸易, 两年工作经验，GPA85.08，雅思6.5"
莫纳什大学商业（当代管理/创业/财务及风险管理/国际业务/市场营销/负责业务管理/战略通信管理/供应链管理）,"广东财经大学, 金融学, 三年工作经验，GPA2.93，免语言成绩"
新南威尔士大学商学（含14个方向）,"对外经济贸易大学, 国际经济与贸易, 大四，GPA73，雅思:6(L:6/R:6/W:6/S:5.5)"
新南威尔士大学商学（含14个方向）,"中央财经大学, 应用心理学（经济心理学方向）, 已毕业，GPA84，雅思6.5"
昆士兰大学商学（2年制）,"中央财经大学, 金融, 三年以上工作经验，GPA74.6，雅思6.5"
悉尼大学商学,"澳门大学, B.Sc. in Finance, 大四，GPA2.66，雅思6.5"
新南威尔士大学金融学,"西澳大学, Finance, 大四，GPA6.25，雅思6.5"
莫纳什大学银行与金融学,"西澳大学, Finance, 大四，GPA6.25，雅思6.5"
新南威尔士大学商学（含14个方向）,"西南财经大学, 投资学, 一年工作经验，GPA76.88，雅思6"
新南威尔士大学商学（含14个方向）,"澳门大学, B.Sc. in Finance, 大四，GPA2.66，雅思6.5"
西澳大学应用金融学,"澳门大学, B.Sc. in Finance, 大四，GPA2.66，雅思6.5"
昆士兰大学商学（1.5年制）,"博仁大学, 金融与会计专业, 已毕业，GPA2.6"
昆士兰大学商学（2年制）,"西南财经大学, 投资学, 一年工作经验，GPA76.88，雅思6"
悉尼大学专业会计,"澳门科技大学, 会计, 大四，GPA3.31，雅思6"
莫纳什大学商业（当代管理/创业/财务及风险管理/国际业务/市场营销/负责业务管理/战略通信管理/供应链管理）,"博仁大学, Finance  and Accounting, 已毕业，GPA2.6"
澳大利亚国立大学金融学,"北京师范大学, 金融, 一年工作经验，GPA79，雅思6.5"
悉尼大学专业会计,"南京医科大学, 医政管理, 大四，GPA4.17，雅思6.5"
昆士兰大学国际经济与金融（1.5年制）,"东北财经大学, 金融, 大四，GPA84.46，雅思7.5"
昆士兰大学旅游、酒店与会展管理（1.5年制）,"山东大学, 旅游管理, 大四，GPA86.46，雅思7"
昆士兰大学商学（1.5年制）,"徐州工程学院, 经济学, 已毕业，GPA3.25，雅思7"
墨尔本大学管理学（人力资源）,"广东工业大学, 工商管理, 大四，GPA89.45，雅思7"
悉尼大学经济学,"北京外国语大学, 金融, 大四，GPA83.1，雅思7"
昆士兰大学国际经济学和金融硕士/商业硕士双学位,"北京师范大学, 金融, 一年工作经验，GPA79，雅思6.5"
悉尼大学人力资源管理与劳资关系,"广东工业大学, 工商管理, 大四，GPA89.45，雅思7"
新南威尔士大学金融学,"北京外国语大学, 金融, 大四，GPA83.1，雅思7"
新南威尔士大学商学（含14个方向）,"北京林业大学, 生物工程, 毕业，GPA72.02"
澳大利亚国立大学金融学,"西南大学, 计算机科学与技术, 大四，GPA89.58"
新南威尔士大学金融分析,"西南财经大学, 财政学, 已毕业，GPA83.5，雅思6"
悉尼大学经济学,"西蒙弗雷泽大学, 经济, 大四，GPA3.45"
墨尔本大学管理学（金融）硕士,"西南大学, 计算机科学与技术, 大四，GPA89.58"
悉尼大学商学硕士,"多伦多大学, Statistics & HR, 已毕业，GPA2.76"
昆士兰大学商学硕士,"湖南第一师范学院, 数学, 4年工作经验，GPA85.53"
昆士兰大学经济学硕士,"安徽工程大学, 金融工程, 20年毕业，GPA80.13，托福100，GRE312"
悉尼大学经济学硕士,"西蒙弗雷泽大学, 经济学, 大四，GPA81.7"
昆士兰大学国际经济与金融硕士,"西蒙弗雷泽大学, 经济学, 大四，GPA81.7"
悉尼大学商学硕士,"西南财经大学, 金融学, 大四，GPA83.43，雅思6.5"
悉尼大学经济学硕士,"中山大学, 金融, 大四，GPA82，托福100，GMAT660"
悉尼大学商学硕士,"暨南大学, 信息与计算科学, 大四，GPA2.8"
悉尼大学专业会计硕士,"南京医科大学, 医政管理, 大四，GPA4.17，雅思6.5"
昆士兰大学国际经济与金融硕士,"南京医科大学, 医政管理, 大四，GPA4.17，雅思6.5"
悉尼大学商学,"韦仕敦大学, Bmos - Consumer Behavior , 已毕业，GPA70"
莫纳什大学专业会计硕士,"南京医科大学, 医政管理, 大四，GPA4.17，雅思6.5"
悉尼大学商学硕士,"华南师范大学, 国际经济与贸易, 大四，GPA87.9，雅思7"
新南威尔士大学专业会计硕士,"南京医科大学, 医政管理, 大四，GPA4.17，雅思6.5"
悉尼大学商学硕士,"澳门城市大学, 国际款待及旅游业管理, 大四，GPA86.4，雅思6.5"
悉尼大学商学硕士,"西南大学, 计算机科学与技术, 大四，GPA89.58"
新南威尔士大学商学（银行业/商业分析/商业战略/经济与金融/企业系统与商业设计/金融/全球可持续性与社会企业/人力资源管理/创新与创业/国际商务/管理会计/市场营销/组织与管理研究/风险管理）硕士研究,"韦仕敦大学, Bmos - Consumer Behavior , 已毕业，GPA70"
昆士兰大学经济学（1.5年）硕士,"天津商业大学, 国际经济与贸易, 大四，GPA80"
悉尼大学经济学硕士,"重庆大学, 金融学, 大四，GPA75.52"
